,probe_g,
200978_at,MDH1,malate dehydrogenase 1
200979_at,PDHA1,pyruvate dehydrogenase E1 subunit alpha 1
200980_s_at,PDHA1,pyruvate dehydrogenase E1 subunit alpha 1
200981_x_at,GNAS,GNAS complex locus
200982_s_at,ANXA6,annexin A6
200983_x_at,CD59,CD59 molecule (CD59 blood group)
200984_s_at,CD59,CD59 molecule (CD59 blood group)
200985_s_at,CD59,CD59 molecule (CD59 blood group)
200986_at,SERPING1,serpin family G member 1
200987_x_at,PSME3,proteasome activator subunit 3
200988_s_at,PSME3,proteasome activator subunit 3
200989_at,HIF1A,hypoxia inducible factor 1 subunit alpha
200990_at,TRIM28,tripartite motif containing 28
200991_s_at,SNX17,sorting nexin 17
200992_at,IPO7,importin 7
200993_at,IPO7,importin 7
200994_at,IPO7,importin 7
200995_at,IPO7,importin 7
200996_at,ACTR3,actin related protein 3
200997_at,RBM4,RNA binding motif protein 4
200997_at,RBM14-RBM4,RBM14-RBM4 readthrough
200998_s_at,CKAP4,cytoskeleton associated protein 4
200999_s_at,CKAP4,cytoskeleton associated protein 4
201000_at,AARS1,alanyl-tRNA synthetase 1
201001_s_at,UBE2V1,ubiquitin conjugating enzyme E2 V1
201001_s_at,PEDS1-UBE2V1,PEDS1-UBE2V1 readthrough
201002_s_at,PEDS1-UBE2V1,PEDS1-UBE2V1 readthrough
201002_s_at,UBE2V1,ubiquitin conjugating enzyme E2 V1
201003_x_at,PEDS1-UBE2V1,PEDS1-UBE2V1 readthrough
201003_x_at,UBE2V1,ubiquitin conjugating enzyme E2 V1
201003_x_at,PEDS1,plasmanylethanolamine desaturase 1
201004_at,SSR4,signal sequence receptor subunit 4
201005_at,CD9,CD9 molecule
201006_at,PRDX2,peroxiredoxin 2
201007_at,HADHB,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta
201008_s_at,TXNIP,thioredoxin interacting protein
201009_s_at,TXNIP,thioredoxin interacting protein
201010_s_at,TXNIP,thioredoxin interacting protein
201011_at,RPN1,ribophorin I
201012_at,ANXA1,annexin A1
201013_s_at,PAICS,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
201014_s_at,PAICS,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
201015_s_at,JUP,junction plakoglobin
201016_at,EIF1AX,eukaryotic translation initiation factor 1A X-linked
201017_at,EIF1AX,eukaryotic translation initiation factor 1A X-linked
201018_at,EIF1AX,eukaryotic translation initiation factor 1A X-linked
201019_s_at,EIF1AX,eukaryotic translation initiation factor 1A X-linked
201020_at,YWHAH,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta
201021_s_at,DSTN,"destrin, actin depolymerizing factor"
201022_s_at,DSTN,"destrin, actin depolymerizing factor"
201023_at,TAF7,TATA-box binding protein associated factor 7
201024_x_at,EIF5B,eukaryotic translation initiation factor 5B
201025_at,EIF5B,eukaryotic translation initiation factor 5B
201026_at,EIF5B,eukaryotic translation initiation factor 5B
201027_s_at,EIF5B,eukaryotic translation initiation factor 5B
201028_s_at,CD99,CD99 molecule (Xg blood group)
201029_s_at,CD99,CD99 molecule (Xg blood group)
201030_x_at,LDHB,lactate dehydrogenase B
201031_s_at,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1
201032_at,BLCAP,BLCAP apoptosis inducing factor
201033_x_at,RPLP0,ribosomal protein lateral stalk subunit P0
201034_at,ADD3,adducin 3
201035_s_at,HADH,hydroxyacyl-CoA dehydrogenase
201036_s_at,HADH,hydroxyacyl-CoA dehydrogenase
201037_at,PFKP,"phosphofructokinase, platelet"
201038_s_at,ANP32A,acidic nuclear phosphoprotein 32 family member A
201039_s_at,RAD23A,"RAD23 homolog A, nucleotide excision repair protein"
201040_at,GNAI2,G protein subunit alpha i2
201041_s_at,DUSP1,dual specificity phosphatase 1
201042_at,TGM2,transglutaminase 2
201043_s_at,ANP32A,acidic nuclear phosphoprotein 32 family member A
201044_x_at,DUSP1,dual specificity phosphatase 1
201045_s_at,RAB6A,"RAB6A, member RAS oncogene family"
201046_s_at,RAD23A,"RAD23 homolog A, nucleotide excision repair protein"
201047_x_at,RAB6A,"RAB6A, member RAS oncogene family"
201048_x_at,RAB6A,"RAB6A, member RAS oncogene family"
201049_s_at,RPS18,ribosomal protein S18
201050_at,PLD3,phospholipase D family member 3
201051_at,ANP32A,acidic nuclear phosphoprotein 32 family member A
201052_s_at,PSMF1,proteasome inhibitor subunit 1
201053_s_at,PSMF1,proteasome inhibitor subunit 1
201054_at,HNRNPA0,heterogeneous nuclear ribonucleoprotein A0
201055_s_at,HNRNPA0,heterogeneous nuclear ribonucleoprotein A0
201056_at,GOLGB1,golgin B1
201057_s_at,GOLGB1,golgin B1
201058_s_at,MYL9,myosin light chain 9
201059_at,CTTN,cortactin
201060_x_at,STOM,stomatin
201061_s_at,STOM,stomatin
201062_at,STOM,stomatin
201063_at,RCN1,reticulocalbin 1
201064_s_at,PABPC4,poly(A) binding protein cytoplasmic 4
201065_s_at,GTF2I,general transcription factor IIi
201065_s_at,GTF2IP1,general transcription factor IIi pseudogene 1
201065_s_at,GTF2IP4,general transcription factor IIi pseudogene 4
201066_at,CYC1,cytochrome c1
201067_at,PSMC2,"proteasome 26S subunit, ATPase 2"
201068_s_at,PSMC2,"proteasome 26S subunit, ATPase 2"
201069_at,MMP2,matrix metallopeptidase 2
201070_x_at,SF3B1,splicing factor 3b subunit 1
201071_x_at,SF3B1,splicing factor 3b subunit 1
201072_s_at,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1"
201073_s_at,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1"
201074_at,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1"
201075_s_at,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1"
201076_at,SNU13,small nuclear ribonucleoprotein 13
201077_s_at,SNU13,small nuclear ribonucleoprotein 13
201078_at,TM9SF2,transmembrane 9 superfamily member 2
201079_at,SYNGR2,synaptogyrin 2
201080_at,PIP4K2B,phosphatidylinositol-5-phosphate 4-kinase type 2 beta
201081_s_at,PIP4K2B,phosphatidylinositol-5-phosphate 4-kinase type 2 beta
201082_s_at,DCTN1,dynactin subunit 1
201083_s_at,BCLAF1,BCL2 associated transcription factor 1
201084_s_at,BCLAF1,BCL2 associated transcription factor 1
201085_s_at,SON,SON DNA and RNA binding protein
201086_x_at,SON,SON DNA and RNA binding protein
201087_at,PXN,paxillin
201088_at,KPNA2,karyopherin subunit alpha 2
201089_at,ATP6V1B2,ATPase H+ transporting V1 subunit B2
201090_x_at,TUBA1B,tubulin alpha 1b
201091_s_at,CBX3,chromobox 3
201092_at,RBBP7,"RB binding protein 7, chromatin remodeling factor"
201093_x_at,SDHA,succinate dehydrogenase complex flavoprotein subunit A
201094_at,RPS29,ribosomal protein S29
201095_at,DAP,death associated protein
201096_s_at,ARF4,ADP ribosylation factor 4
201097_s_at,ARF4,ADP ribosylation factor 4
201098_at,COPB2,COPI coat complex subunit beta 2
201099_at,USP9X,ubiquitin specific peptidase 9 X-linked
201100_s_at,USP9X,ubiquitin specific peptidase 9 X-linked
201101_s_at,BCLAF1,BCL2 associated transcription factor 1
201102_s_at,PFKL,"phosphofructokinase, liver type"
201103_x_at,NBPF12,NBPF member 12
201103_x_at,NBPF11,NBPF member 11
201103_x_at,NBPF15,NBPF member 15
201103_x_at,NBPF9,NBPF member 9
201103_x_at,NBPF8,NBPF member 8
201103_x_at,NBPF10,NBPF member 10
201103_x_at,NBPF20,NBPF member 20
201103_x_at,NBPF19,NBPF member 19
201103_x_at,NBPF26,NBPF member 26
201104_x_at,NBPF14,NBPF member 14
201104_x_at,NBPF11,NBPF member 11
201104_x_at,NBPF15,NBPF member 15
201104_x_at,NBPF8,NBPF member 8
201104_x_at,NBPF10,NBPF member 10
201104_x_at,NBPF20,NBPF member 20
201104_x_at,NBPF19,NBPF member 19
201104_x_at,NBPF26,NBPF member 26
201104_x_at,NBPF25P,"NBPF member 25, pseudogene"
201105_at,LGALS1,galectin 1
201106_at,GPX4,glutathione peroxidase 4
201107_s_at,THBS1,thrombospondin 1
201108_s_at,THBS1,thrombospondin 1
201109_s_at,THBS1,thrombospondin 1
201110_s_at,THBS1,thrombospondin 1
201111_at,CSE1L,chromosome segregation 1 like
201112_s_at,CSE1L,chromosome segregation 1 like
201113_at,TUFM,"Tu translation elongation factor, mitochondrial"
201114_x_at,PSMA7,proteasome 20S subunit alpha 7
201115_at,POLD2,"DNA polymerase delta 2, accessory subunit"
201116_s_at,CPE,carboxypeptidase E
201117_s_at,CPE,carboxypeptidase E
201118_at,PGD,phosphogluconate dehydrogenase
201119_s_at,COX8A,cytochrome c oxidase subunit 8A
201120_s_at,PGRMC1,progesterone receptor membrane component 1
201121_s_at,PGRMC1,progesterone receptor membrane component 1
201122_x_at,EIF5A,eukaryotic translation initiation factor 5A
201123_s_at,EIF5A,eukaryotic translation initiation factor 5A
201124_at,ITGB5,integrin subunit beta 5
201125_s_at,ITGB5,integrin subunit beta 5
201126_s_at,MGAT1,"alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
201127_s_at,ACLY,ATP citrate lyase
201128_s_at,ACLY,ATP citrate lyase
201129_at,SRSF7,serine and arginine rich splicing factor 7
201130_s_at,CDH1,cadherin 1
201131_s_at,CDH1,cadherin 1
201132_at,HNRNPH2,heterogeneous nuclear ribonucleoprotein H2
201132_at,RPL36A-HNRNPH2,RPL36A-HNRNPH2 readthrough
201133_s_at,PJA2,praja ring finger ubiquitin ligase 2
201134_x_at,COX7C,cytochrome c oxidase subunit 7C
201135_at,ECHS1,"enoyl-CoA hydratase, short chain 1"
201136_at,PLP2,proteolipid protein 2
201137_s_at,HLA-DPB1,"major histocompatibility complex, class II, DP beta 1"
201138_s_at,SSB,small RNA binding exonuclease protection factor La
201139_s_at,SSB,small RNA binding exonuclease protection factor La
201140_s_at,RAB5C,"RAB5C, member RAS oncogene family"
201141_at,GPNMB,glycoprotein nmb
201142_at,EIF2S1,eukaryotic translation initiation factor 2 subunit alpha
201143_s_at,EIF2S1,eukaryotic translation initiation factor 2 subunit alpha
201144_s_at,EIF2S1,eukaryotic translation initiation factor 2 subunit alpha
201145_at,HAX1,HCLS1 associated protein X-1
201146_at,NFE2L2,"nuclear factor, erythroid 2 like 2"
201147_s_at,TIMP3,TIMP metallopeptidase inhibitor 3
201148_s_at,TIMP3,TIMP metallopeptidase inhibitor 3
201149_s_at,TIMP3,TIMP metallopeptidase inhibitor 3
201150_s_at,TIMP3,TIMP metallopeptidase inhibitor 3
201151_s_at,MBNL1,muscleblind like splicing regulator 1
201152_s_at,MBNL1,muscleblind like splicing regulator 1
201153_s_at,MBNL1,muscleblind like splicing regulator 1
201154_x_at,RPL4,ribosomal protein L4
201155_s_at,MFN2,mitofusin 2
201156_s_at,RAB5C,"RAB5C, member RAS oncogene family"
201157_s_at,NMT1,N-myristoyltransferase 1
201158_at,NMT1,N-myristoyltransferase 1
201159_s_at,NMT1,N-myristoyltransferase 1
201160_s_at,YBX3,Y-box binding protein 3
201161_s_at,YBX3,Y-box binding protein 3
201162_at,IGFBP7,insulin like growth factor binding protein 7
201163_s_at,IGFBP7,insulin like growth factor binding protein 7
201164_s_at,PUM1,pumilio RNA binding family member 1
201165_s_at,PUM1,pumilio RNA binding family member 1
201166_s_at,PUM1,pumilio RNA binding family member 1
201167_x_at,ARHGDIA,Rho GDP dissociation inhibitor alpha
201168_x_at,ARHGDIA,Rho GDP dissociation inhibitor alpha
201169_s_at,BHLHE40,basic helix-loop-helix family member e40
201170_s_at,BHLHE40,basic helix-loop-helix family member e40
201171_at,ATP6V0E1,ATPase H+ transporting V0 subunit e1
201172_x_at,ATP6V0E1,ATPase H+ transporting V0 subunit e1
201173_x_at,NUDC,"nuclear distribution C, dynein complex regulator"
201174_s_at,TERF2IP,TERF2 interacting protein
201175_at,TMX2,thioredoxin related transmembrane protein 2
201176_s_at,ARCN1,archain 1
201177_s_at,UBA2,ubiquitin like modifier activating enzyme 2
201178_at,FBXO7,F-box protein 7
201179_s_at,GNAI3,G protein subunit alpha i3
201180_s_at,GNAI3,G protein subunit alpha i3
201181_at,GNAI3,G protein subunit alpha i3
201182_s_at,CHD4,chromodomain helicase DNA binding protein 4
201183_s_at,CHD4,chromodomain helicase DNA binding protein 4
201184_s_at,CHD4,chromodomain helicase DNA binding protein 4
201185_at,HTRA1,HtrA serine peptidase 1
201186_at,LRPAP1,LDL receptor related protein associated protein 1
201187_s_at,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3"
201188_s_at,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3"
201189_s_at,ITPR3,"inositol 1,4,5-trisphosphate receptor type 3"
201190_s_at,PITPNA,phosphatidylinositol transfer protein alpha
201191_at,PITPNA,phosphatidylinositol transfer protein alpha
201192_s_at,PITPNA,phosphatidylinositol transfer protein alpha
201193_at,IDH1,isocitrate dehydrogenase (NADP(+)) 1
201194_at,SELENOW,selenoprotein W
201195_s_at,SLC7A5,solute carrier family 7 member 5
201196_s_at,AMD1,adenosylmethionine decarboxylase 1
201197_at,AMD1,adenosylmethionine decarboxylase 1
201198_s_at,PSMD1,"proteasome 26S subunit, non-ATPase 1"
201199_s_at,PSMD1,"proteasome 26S subunit, non-ATPase 1"
201200_at,CREG1,cellular repressor of E1A stimulated genes 1
201201_at,CSTB,cystatin B
201202_at,PCNA,proliferating cell nuclear antigen
201203_s_at,RRBP1,ribosome binding protein 1
201204_s_at,RRBP1,ribosome binding protein 1
201205_at,RRBP1,ribosome binding protein 1
201206_s_at,RRBP1,ribosome binding protein 1
201207_at,TNFAIP1,TNF alpha induced protein 1
201208_s_at,TNFAIP1,TNF alpha induced protein 1
201209_at,HDAC1,histone deacetylase 1
201210_at,DDX3X,DEAD-box helicase 3 X-linked
201211_s_at,DDX3X,DEAD-box helicase 3 X-linked
201212_at,LGMN,legumain
201213_at,PPP1R7,protein phosphatase 1 regulatory subunit 7
201214_s_at,PPP1R7,protein phosphatase 1 regulatory subunit 7
201215_at,PLS3,plastin 3
201216_at,ERP29,endoplasmic reticulum protein 29
201217_x_at,RPL3,ribosomal protein L3
201218_at,CTBP2,C-terminal binding protein 2
201219_at,CTBP2,C-terminal binding protein 2
201220_x_at,CTBP2,C-terminal binding protein 2
201221_s_at,SNRNP70,small nuclear ribonucleoprotein U1 subunit 70
201222_s_at,RAD23B,"RAD23 homolog B, nucleotide excision repair protein"
201223_s_at,RAD23B,"RAD23 homolog B, nucleotide excision repair protein"
201224_s_at,SRRM1,serine and arginine repetitive matrix 1
201225_s_at,SRRM1,serine and arginine repetitive matrix 1
201226_at,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8
201227_s_at,NDUFB8,NADH:ubiquinone oxidoreductase subunit B8
201228_s_at,ARIH2,ariadne RBR E3 ubiquitin protein ligase 2
201229_s_at,ARIH2,ariadne RBR E3 ubiquitin protein ligase 2
201230_s_at,ARIH2,ariadne RBR E3 ubiquitin protein ligase 2
201231_s_at,ENO1,enolase 1
201232_s_at,PSMD13,"proteasome 26S subunit, non-ATPase 13"
201233_at,PSMD13,"proteasome 26S subunit, non-ATPase 13"
201234_at,ILK,integrin linked kinase
201235_s_at,BTG2,BTG anti-proliferation factor 2
201236_s_at,BTG2,BTG anti-proliferation factor 2
201237_at,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2
201238_s_at,CAPZA2,capping actin protein of muscle Z-line subunit alpha 2
201239_s_at,SPCS2,signal peptidase complex subunit 2
201239_s_at,SPCS2P4,signal peptidase complex subunit 2 pseudogene 4
201240_s_at,SPCS2,signal peptidase complex subunit 2
201241_at,DDX1,DEAD-box helicase 1
201242_s_at,ATP1B1,ATPase Na+/K+ transporting subunit beta 1
201243_s_at,ATP1B1,ATPase Na+/K+ transporting subunit beta 1
201244_s_at,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase"
201245_s_at,OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1"
201246_s_at,OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1"
201247_at,SREBF2,sterol regulatory element binding transcription factor 2
201248_s_at,SREBF2,sterol regulatory element binding transcription factor 2
201249_at,SLC2A1,solute carrier family 2 member 1
201250_s_at,SLC2A1,solute carrier family 2 member 1
201251_at,PKM,pyruvate kinase M1/2
201252_at,PSMC4,"proteasome 26S subunit, ATPase 4"
201253_s_at,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase
201254_x_at,RPS6,ribosomal protein S6
201255_x_at,BAG6,BAG cochaperone 6
201256_at,COX7A2L,cytochrome c oxidase subunit 7A2 like
201257_x_at,RPS3A,ribosomal protein S3A
201258_at,RPS16,ribosomal protein S16
201259_s_at,SYPL1,synaptophysin like 1
201260_s_at,SYPL1,synaptophysin like 1
201261_x_at,BGN,biglycan
201262_s_at,BGN,biglycan
201263_at,TARS1,threonyl-tRNA synthetase 1
201264_at,COPE,COPI coat complex subunit epsilon
201265_at,NA,NA
201266_at,TXNRD1,thioredoxin reductase 1
201267_s_at,PSMC3,"proteasome 26S subunit, ATPase 3"
201268_at,NME2,NME/NM23 nucleoside diphosphate kinase 2
201268_at,NME1-NME2,NME1-NME2 readthrough
201269_s_at,NUDCD3,NudC domain containing 3
201270_x_at,NUDCD3,NudC domain containing 3
201271_s_at,RALY,RALY heterogeneous nuclear ribonucleoprotein
201272_at,AKR1B1,aldo-keto reductase family 1 member B
201273_s_at,SRP9,signal recognition particle 9
201274_at,PSMA5,proteasome 20S subunit alpha 5
201275_at,FDPS,farnesyl diphosphate synthase
201276_at,RAB5B,"RAB5B, member RAS oncogene family"
201277_s_at,HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B
201278_at,DAB2,DAB adaptor protein 2
201279_s_at,DAB2,DAB adaptor protein 2
201280_s_at,DAB2,DAB adaptor protein 2
201281_at,ADRM1,ADRM1 26S proteasome ubiquitin receptor
201282_at,OGDH,oxoglutarate dehydrogenase
201283_s_at,TRAK1,trafficking kinesin protein 1
201284_s_at,APEH,acylaminoacyl-peptide hydrolase
201285_at,MKRN1,makorin ring finger protein 1
201286_at,SDC1,syndecan 1
201287_s_at,SDC1,syndecan 1
201288_at,ARHGDIB,Rho GDP dissociation inhibitor beta
201289_at,CCN1,cellular communication network factor 1
201290_at,SEC11A,"SEC11 homolog A, signal peptidase complex subunit"
201291_s_at,TOP2A,DNA topoisomerase II alpha
201292_at,TOP2A,DNA topoisomerase II alpha
201293_x_at,PPIA,peptidylprolyl isomerase A
201294_s_at,WSB1,WD repeat and SOCS box containing 1
201295_s_at,WSB1,WD repeat and SOCS box containing 1
201296_s_at,WSB1,WD repeat and SOCS box containing 1
201297_s_at,MOB1A,MOB kinase activator 1A
201298_s_at,MOB1A,MOB kinase activator 1A
201299_s_at,MOB1A,MOB kinase activator 1A
201300_s_at,PRNP,prion protein
201301_s_at,ANXA4,annexin A4
201302_at,ANXA4,annexin A4
201303_at,EIF4A3,eukaryotic translation initiation factor 4A3
201304_at,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5
201305_x_at,ANP32B,acidic nuclear phosphoprotein 32 family member B
201306_s_at,ANP32B,acidic nuclear phosphoprotein 32 family member B
201307_at,SEPTIN11,septin 11
201308_s_at,SEPTIN11,septin 11
201309_x_at,NREP,neuronal regeneration related protein
201310_s_at,NREP,neuronal regeneration related protein
201311_s_at,SH3BGRL,SH3 domain binding glutamate rich protein like
201312_s_at,SH3BGRL,SH3 domain binding glutamate rich protein like
201313_at,ENO2,enolase 2
201314_at,STK25,serine/threonine kinase 25
201315_x_at,IFITM2,interferon induced transmembrane protein 2
201316_at,PSMA2,proteasome 20S subunit alpha 2
201317_s_at,PSMA2,proteasome 20S subunit alpha 2
201318_s_at,MYL12A,myosin light chain 12A
201318_s_at,MYL12B,myosin light chain 12B
201319_at,MYL12A,myosin light chain 12A
201320_at,SMARCC2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2"
201321_s_at,SMARCC2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2"
201322_at,ATP5F1B,ATP synthase F1 subunit beta
201323_at,EBNA1BP2,EBNA1 binding protein 2
201324_at,EMP1,epithelial membrane protein 1
201325_s_at,EMP1,epithelial membrane protein 1
201326_at,CCT6A,chaperonin containing TCP1 subunit 6A
201327_s_at,CCT6A,chaperonin containing TCP1 subunit 6A
201328_at,ETS2,"ETS proto-oncogene 2, transcription factor"
201329_s_at,ETS2,"ETS proto-oncogene 2, transcription factor"
201330_at,RARS1,arginyl-tRNA synthetase 1
201331_s_at,STAT6,signal transducer and activator of transcription 6
